state,county,city,precinct,l2_district_type,l2_district_name,source
FL,ALACHUA,GAINESVILLE CITY (EST.),13,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),19,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),25,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),28,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),33,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),40,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),55,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),59,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 1 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),17,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),21,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),24,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),32,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),37,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),38,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),61,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 2 (EST.),https://www.votealachua.gov/264/District-Boundaries
FL,ALACHUA,GAINESVILLE CITY (EST.),23,City_Council_Commissioner_District,GAINESVILLE CITY CNCL DIST 3 (EST.),https://www.votealachua.gov/264/District-Boundaries
